survived,pclass,sex,age,sibsp,parch,fare,embarked,embark_town,deck,family_size,is_alone,sex_binary
0,3,male,22.0,1,0,7.25,S,Southampton,Unknown,2,0,1
1,1,female,38.0,1,0,71.2833,C,Cherbourg,C,2,0,0
1,3,female,26.0,0,0,7.925,S,Southampton,Unknown,1,1,0
1,1,female,35.0,1,0,53.1,S,Southampton,C,2,0,0
0,3,male,35.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,28.0,0,0,8.4583,Q,Queenstown,Unknown,1,1,1
0,1,male,54.0,0,0,51.8625,S,Southampton,E,1,1,1
0,3,male,2.0,3,1,21.075,S,Southampton,Unknown,5,0,1
1,3,female,27.0,0,2,11.1333,S,Southampton,Unknown,3,0,0
1,2,female,14.0,1,0,30.0708,C,Cherbourg,Unknown,2,0,0
1,3,female,4.0,1,1,16.7,S,Southampton,G,3,0,0
1,1,female,58.0,0,0,26.55,S,Southampton,C,1,1,0
0,3,male,20.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,39.0,1,5,31.275,S,Southampton,Unknown,7,0,1
0,3,female,14.0,0,0,7.8542,S,Southampton,Unknown,1,1,0
1,2,female,55.0,0,0,16.0,S,Southampton,Unknown,1,1,0
0,3,male,2.0,4,1,29.125,Q,Queenstown,Unknown,6,0,1
1,2,male,28.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,3,female,31.0,1,0,18.0,S,Southampton,Unknown,2,0,0
1,3,female,28.0,0,0,7.225,C,Cherbourg,Unknown,1,1,0
0,2,male,35.0,0,0,26.0,S,Southampton,Unknown,1,1,1
1,2,male,34.0,0,0,13.0,S,Southampton,D,1,1,1
1,3,female,15.0,0,0,8.0292,Q,Queenstown,Unknown,1,1,0
1,1,male,28.0,0,0,35.5,S,Southampton,A,1,1,1
0,3,female,8.0,3,1,21.075,S,Southampton,Unknown,5,0,0
1,3,female,38.0,1,5,31.3875,S,Southampton,Unknown,7,0,0
0,3,male,28.0,0,0,7.225,C,Cherbourg,Unknown,1,1,1
0,1,male,19.0,3,2,263.0,S,Southampton,C,6,0,1
1,3,female,28.0,0,0,7.8792,Q,Queenstown,Unknown,1,1,0
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
0,1,male,40.0,0,0,27.7208,C,Cherbourg,Unknown,1,1,1
1,1,female,28.0,1,0,146.5208,C,Cherbourg,B,2,0,0
1,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
0,2,male,66.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,1,male,28.0,1,0,82.1708,C,Cherbourg,Unknown,2,0,1
0,1,male,42.0,1,0,52.0,S,Southampton,Unknown,2,0,1
1,3,male,28.0,0,0,7.2292,C,Cherbourg,Unknown,1,1,1
0,3,male,21.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,female,18.0,2,0,18.0,S,Southampton,Unknown,3,0,0
1,3,female,14.0,1,0,11.2417,C,Cherbourg,Unknown,2,0,0
0,3,female,40.0,1,0,9.475,S,Southampton,Unknown,2,0,0
0,2,female,27.0,1,0,21.0,S,Southampton,Unknown,2,0,0
0,3,male,28.0,0,0,7.8958,C,Cherbourg,Unknown,1,1,1
1,2,female,3.0,1,2,41.5792,C,Cherbourg,Unknown,4,0,0
1,3,female,19.0,0,0,7.8792,Q,Queenstown,Unknown,1,1,0
0,3,male,28.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,28.0,1,0,15.5,Q,Queenstown,Unknown,2,0,1
1,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
0,3,male,28.0,2,0,21.6792,C,Cherbourg,Unknown,3,0,1
0,3,female,18.0,1,0,17.8,S,Southampton,Unknown,2,0,0
